Statistical profiling result from isolate-0x130008000-14455-v8.log, (2337 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^fileExists /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:7985:32
      1    0.0%    0.0%  Function: ^declareSymbol /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:43614:31
      1    0.0%    0.0%  Function: ^createSymbol /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:47740:30
      1    0.0%    0.0%  Function: ^asName /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:26434:24
      1    0.0%    0.0%  Function: ^append /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:1174:20
      1    0.0%    0.0%  Function: ^addDeclarationToSymbol /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:43512:40
      1    0.0%    0.0%  Function: ^_loop_4 /Users/mirek/prelude/packages/rb-tree/node_modules/typescript/lib/typescript.js:40063:36

 [C++]:
   ticks  total  nonlib   name
    640   27.4%   28.0%  t std::__1::vector<node::BaseObjectPtrImpl<node::BaseObject, false>, std::__1::allocator<node::BaseObjectPtrImpl<node::BaseObject, false> > >::vector(unsigned long)
    134    5.7%    5.9%  t _Builtins_StrictEqual_WithFeedback
     32    1.4%    1.4%  T _task_restartable_ranges_synchronize
     31    1.3%    1.4%  T _voucher_mach_msg_adopt
     30    1.3%    1.3%  t _Builtins_LoadIC
     15    0.6%    0.7%  t _Builtins_StrictEqual_Baseline
     14    0.6%    0.6%  T _kdebug_trace
      9    0.4%    0.4%  t _Builtins_CallFunction_ReceiverIsNullOrUndefined
      8    0.3%    0.4%  t _Builtins_StoreIC
      6    0.3%    0.3%  t _Builtins_LoadIC_Megamorphic
      6    0.3%    0.3%  T _semaphore_wait_signal_trap
      5    0.2%    0.2%  t __os_once_gate_wait
      5    0.2%    0.2%  t _Builtins_StringEqual
      5    0.2%    0.2%  t _Builtins_BaselineLeaveFrame
      4    0.2%    0.2%  t ___pfz_setup
      4    0.2%    0.2%  t _Builtins_ToBooleanForBaselineJump
      4    0.2%    0.2%  t _Builtins_StringSubstring
      4    0.2%    0.2%  T _host_request_notification
      4    0.2%    0.2%  T __kernelrpc_mach_port_get_refs
      3    0.1%    0.1%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      3    0.1%    0.1%  t _Builtins_LoadIC_NoFeedback
      3    0.1%    0.1%  t _Builtins_Call_ReceiverIsNullOrUndefined_Baseline_Compact
      3    0.1%    0.1%  t _Builtins_BitwiseAnd_Baseline
      3    0.1%    0.1%  t _Builtins_ArrayPrototypePush
      3    0.1%    0.1%  t _Builtins_ArrayPrototypeJoin
      3    0.1%    0.1%  T node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  t __os_nospin_lock_unlock_slow
      2    0.1%    0.1%  t __os_nospin_lock_lock_slow
      2    0.1%    0.1%  t _Builtins_StringPrototypeCharCodeAt
      2    0.1%    0.1%  t _Builtins_StringIndexOf
      2    0.1%    0.1%  t _Builtins_StringCodePointAt
      2    0.1%    0.1%  t _Builtins_RecordWriteEmitRememberedSetSaveFP
      2    0.1%    0.1%  t _Builtins_MathRandom
      2    0.1%    0.1%  t _Builtins_LoadICBaseline
      2    0.1%    0.1%  t _Builtins_InterpreterEntryTrampoline
      2    0.1%    0.1%  t _Builtins_Call_ReceiverIsNullOrUndefined
      2    0.1%    0.1%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      2    0.1%    0.1%  t _Builtins_BaselineOutOfLinePrologue
      2    0.1%    0.1%  T _semaphore_create
      2    0.1%    0.1%  T _mach_vm_allocate
      2    0.1%    0.1%  T _fcntl$NOCANCEL
      1    0.0%    0.0%  t std::__1::__tree<int, std::__1::less<int>, std::__1::allocator<int> >::__insert_node_at(std::__1::__tree_end_node<std::__1::__tree_node_base<void*>*>*, std::__1::__tree_node_base<void*>*&, std::__1::__tree_node_base<void*>*)
      1    0.0%    0.0%  t defaultContains(BinaryProperty const&, int, UProperty)
      1    0.0%    0.0%  t __enlarge
      1    0.0%    0.0%  t _Builtins_StringPrototypeSlice
      1    0.0%    0.0%  t _Builtins_MapPrototypeSet
      1    0.0%    0.0%  t _Builtins_LessThan_Baseline
      1    0.0%    0.0%  t _Builtins_LessThanOrEqual_Baseline
      1    0.0%    0.0%  t _Builtins_LdaUndefinedHandler
      1    0.0%    0.0%  t _Builtins_LdaImmutableCurrentContextSlotHandler
      1    0.0%    0.0%  t _Builtins_JumpLoopHandler
      1    0.0%    0.0%  t _Builtins_JumpIfToBooleanFalseHandler
      1    0.0%    0.0%  t _Builtins_Increment_Baseline
      1    0.0%    0.0%  t _Builtins_GreaterThanOrEqual_Baseline
      1    0.0%    0.0%  t _Builtins_FindOrderedHashMapEntry
      1    0.0%    0.0%  t _Builtins_CompileLazy
